ID,Company,TypeName,Inches,Ram,Weight,Price_euros,Screen,Touchscreen,CPU_freq,PrimaryStorage,PrimaryStorageType
79,HP,Notebook,17.3,8,2.5,977,Full HD,No,1.6,128,SSD
80,Dell,Ultrabook,15.6,8,1.88,1096.16,Full HD,No,1.6,256,SSD
81,Apple,Ultrabook,12,8,0.92,1510,Standard,No,1.3,512,SSD
82,HP,Notebook,14,8,1.63,860,Full HD,No,1.6,256,SSD
83,Lenovo,Notebook,15.6,4,2.2,399,Full HD,No,2.5,128,SSD
84,Acer,Notebook,15.6,4,2.1,395,Standard,No,3,1024,HDD
85,Dell,Gaming,15.6,16,2.65,1349,Full HD,No,2.8,128,SSD
86,HP,Ultrabook,15.6,8,1.83,699,Full HD,No,1.8,256,SSD
87,HP,Notebook,15.6,8,1.96,598.99,Full HD,No,2.5,256,SSD
88,Asus,Gaming,15.6,16,2.2,1449,Full HD,No,2.8,128,SSD
89,Dell,Ultrabook,13.3,8,1.21,1649,Full HD,No,1.8,256,SSD
90,Asus,Gaming,15.6,8,2.45,699,Full HD,No,3,1024,HDD
91,Acer,Notebook,15.6,8,2.2,689,Full HD,No,1.8,1024,HDD
92,HP,Notebook,13.3,16,1.49,1197,Full HD,No,1.8,512,SSD
93,Dell,Gaming,15.6,8,2.65,1195,Full HD,No,2.5,256,SSD
94,Asus,Ultrabook,14,8,1.25,1049,Full HD,No,2.7,256,SSD
95,Acer,2 in 1 Convertible,13.3,8,1.5,847,Full HD,Yes,1.6,256,SSD
96,Dell,Notebook,15.6,8,2.2,599.9,Full HD,No,2.7,1024,HDD
97,Dell,Notebook,15.6,4,2.2,485,Full HD,No,2,256,SSD
98,Asus,Notebook,15.6,6,2,577,Full HD,No,2.4,256,SSD
99,HP,Gaming,15.6,12,2.62,1249,Full HD,No,2.8,128,SSD
100,HP,Notebook,15.6,8,1.91,719,Full HD,No,2.7,256,SSD
101,HP,Notebook,15.6,4,2.1,349,Full HD,No,1.5,500,HDD
102,Dell,Notebook,15.6,8,2.2,647,Full HD,No,1.6,1024,HDD
103,HP,Ultrabook,13.3,8,1.38,1119,Full HD,No,2.7,256,SSD
104,Microsoft,Ultrabook,13.5,8,1.252,1340,Standard,Yes,2.5,256,SSD
105,HP,Notebook,14,6,1.58,659,Full HD,No,2.5,256,SSD
106,Lenovo,Notebook,15.6,4,1.85,414.9,Full HD,No,2,1024,HDD
107,Asus,Ultrabook,14,8,1.3,1193,Full HD,No,2.7,256,SSD
108,MSI,Gaming,15.6,16,2.2,1299,Full HD,No,2.8,256,SSD
109,Lenovo,Notebook,14,8,1.58,1480,Full HD,No,2.7,256,SSD
110,Asus,Ultrabook,15.6,16,1.5,1262,Full HD,No,1.8,256,SSD
111,Dell,Ultrabook,13.3,8,1.23,1379,Quad HD+,Yes,2.4,256,SSD
112,Lenovo,2 in 1 Convertible,13.3,8,1.37,1399,Full HD,Yes,2.5,256,SSD
113,HP,Notebook,14,4,1.63,722,Standard,No,1.6,500,HDD
114,Dell,Ultrabook,13.3,8,1.21,1629,Full HD,No,1.6,256,SSD
115,HP,2 in 1 Convertible,13.3,8,1.26,1398.99,Full HD,Yes,1.6,256,SSD
116,HP,Notebook,14,8,1.63,1084,Full HD,No,1.8,512,SSD
117,Dell,Notebook,15.6,8,2.16,1130.33,Full HD,No,1.8,256,SSD
118,Asus,Notebook,17.3,4,2,564,Full HD,No,2,1024,HDD
119,Asus,Notebook,15.6,8,1.7,1118,Full HD,No,1.8,256,SSD
120,Acer,Notebook,15.6,6,2.1,479,Full HD,Yes,2.4,1024,HDD
121,MSI,Gaming,15.6,16,1.8,2241.5,Full HD,No,2.8,256,SSD
122,Lenovo,Notebook,15.6,8,2.2,629,Full HD,No,2.5,256,SSD
123,HP,Notebook,17.3,16,2.5,1271,Full HD,No,1.8,512,SSD
124,Acer,Notebook,15.6,4,2.1,451,Standard,No,3,256,SSD
125,HP,Notebook,15.6,4,1.86,259,Standard,No,1.6,500,HDD
126,HP,Notebook,14,8,1.63,812,Full HD,No,1.6,1024,HDD
127,Asus,Notebook,14,4,1.65,277.99,Standard,No,1.5,64,SSD
128,Dell,Notebook,17.3,16,2.8,1396,Full HD,No,1.8,256,SSD
129,HP,Notebook,17.3,8,2.5,928,Full HD,No,1.6,256,SSD
130,Dell,Notebook,15.6,8,2.36,638.99,Standard,No,2.5,1024,HDD
131,Dell,Notebook,15.6,4,2.2,449,Full HD,No,2,1024,HDD
132,Acer,Ultrabook,14,8,1.6,884,Full HD,No,1.8,256,SSD
133,Acer,Notebook,15.6,4,2.2,572,Full HD,No,2.7,256,SSD
134,HP,Notebook,15.6,8,2.05,598,Standard,No,2.7,1024,HDD
135,HP,Notebook,14,8,1.63,988,Full HD,No,1.8,256,SSD
136,Lenovo,Notebook,15.6,4,1.9,252.36,Standard,No,1.1,1024,HDD
137,Asus,Gaming,17.3,8,3,938,Full HD,No,2.5,128,SSD
138,Lenovo,Notebook,15.6,4,2.2,499,Full HD,No,2.5,1024,HDD
139,HP,Notebook,13.3,4,1.32,699,Full HD,No,2.5,256,SSD
140,Acer,Notebook,17.3,4,3,655,Full HD,No,2.7,1024,HDD
141,Lenovo,Notebook,14,8,1.75,1116.02,Full HD,No,1.6,256,SSD
142,Lenovo,Gaming,15.6,8,2.4,869,Full HD,No,2.8,256,SSD
143,Toshiba,Notebook,15.6,4,2.1,602,Standard,No,2.3,500,HDD
144,HP,Notebook,15.6,4,1.86,369,Standard,No,2.5,256,SSD
145,Asus,Ultrabook,14,8,1.25,1099,Full HD,No,1.8,256,SSD
146,HP,Ultrabook,12.5,8,0.97,2014,4K Ultra HD,Yes,1.2,512,SSD
147,Asus,Notebook,15.6,4,2,344,Full HD,No,1.1,1024,HDD
148,MSI,Gaming,17.3,16,2.9,2029,Full HD,No,2.8,256,SSD
149,Acer,Notebook,15.6,4,2.1,447,Standard,No,2,1024,HDD
150,Dell,Gaming,15.6,16,2.56,1249.26,Full HD,No,2.8,512,SSD
151,Dell,Gaming,15.6,8,2.62,899,Full HD,No,2.8,1024,Hybrid
152,Lenovo,Notebook,15.6,4,1.9,498,Standard,No,2.5,128,SSD
153,MSI,Gaming,17.3,16,2.8,1890,Full HD,No,2.8,256,SSD
154,HP,Ultrabook,14,4,1.48,1082,Full HD,No,2.7,256,SSD
155,HP,Notebook,15.6,6,1.91,619,Full HD,No,1.6,256,SSD
156,Lenovo,2 in 1 Convertible,14,4,1.74,629,Full HD,Yes,2.4,256,SSD
157,Asus,2 in 1 Convertible,13.3,8,1.1,1315,Full HD,Yes,1.6,256,SSD
158,Dell,2 in 1 Convertible,15.6,8,1.56,1049,Full HD,Yes,1.8,256,SSD
159,Toshiba,Notebook,15.6,4,2.1,447,Standard,No,2.2,500,HDD
160,Asus,Notebook,15.6,4,2.03,403,Standard,No,3,1024,HDD
161,Acer,Notebook,17.3,4,3,805,Full HD,No,1.6,256,SSD
162,Dell,Notebook,15.6,8,2.13,728,Full HD,No,1.6,256,SSD
163,Lenovo,Gaming,15.6,16,2.5,1079,Full HD,No,2.8,256,SSD
164,Acer,Notebook,15.6,4,2.1,348,Standard,No,1.1,1024,HDD
165,MSI,Gaming,15.6,16,2.4,1799,Full HD,No,2.8,256,SSD
166,Acer,Notebook,15.6,4,2.1,363.51,Standard,No,1.1,1024,HDD
167,Dell,Gaming,15.6,8,2.56,1060.49,Full HD,No,2.8,128,SSD
168,Acer,Notebook,17.3,8,3,854,Full HD,No,1.6,256,SSD
169,HP,Notebook,13.3,4,1.49,754,Full HD,No,1.6,500,HDD
170,Huawei,Ultrabook,13,8,1.05,1349,Full HD,No,2.5,256,SSD
171,HP,Notebook,17.3,6,2.71,699,Full HD,No,2.5,2048,HDD
172,Lenovo,Notebook,15.6,4,2.2,309,Standard,No,2.9,500,HDD
173,Toshiba,Notebook,15.6,4,2,489,Standard,No,2.4,500,HDD
174,HP,Notebook,17.3,8,2.5,923,Full HD,No,1.6,256,SSD
175,Dell,Notebook,15.6,8,2.3,459,Standard,No,2.4,1024,HDD
176,Acer,Notebook,15.6,4,2.1,449,Standard,No,2,128,SSD
177,MSI,Gaming,18.4,32,4.4,2799,Full HD,No,2.9,512,SSD
178,Lenovo,Notebook,15.6,8,1.9,813,Full HD,No,2.5,128,SSD
179,HP,2 in 1 Convertible,13.3,8,1.29,1499,4K Ultra HD,Yes,1.6,256,SSD
180,Dell,Notebook,15.6,16,2.02,1049,Full HD,No,1.8,256,SSD
181,Dell,Ultrabook,13.3,8,1.23,1399,Full HD,No,1.6,256,SSD
182,Lenovo,2 in 1 Convertible,13.9,16,1.4,1849,4K Ultra HD,Yes,1.8,512,SSD
183,Toshiba,Notebook,15.6,8,2,793,Standard,No,2.5,128,SSD
184,Xiaomi,Notebook,15.6,8,1.95,1199,Full HD,No,1.6,256,SSD
185,Dell,Notebook,17.3,16,2.77,1549,Full HD,Yes,1.8,512,SSD
186,Dell,Notebook,15.6,16,2.06,2397,4K Ultra HD,Yes,2.8,512,SSD
187,Lenovo,Gaming,15.6,8,2.4,779,Full HD,No,2.5,256,SSD
188,Acer,Ultrabook,13.3,8,1.12,989,Full HD,No,1.2,256,SSD
189,Dell,Notebook,17.3,8,2.8,1085,Full HD,No,1.8,128,SSD
190,Lenovo,2 in 1 Convertible,14,16,1.42,2824,Standard,Yes,2.7,1024,SSD
191,Vero,Notebook,14,4,1.3,260,Full HD,No,1.1,32,Flash Storage
192,Xiaomi,Ultrabook,13.3,8,1.3,999.9,Full HD,No,2.5,256,SSD
193,Lenovo,Notebook,17.3,8,2.8,698,Standard,No,1.6,256,SSD
194,Dell,2 in 1 Convertible,13.3,8,1.62,839,Full HD,Yes,1.8,1024,HDD
195,HP,Notebook,17.3,8,2.5,914,Full HD,No,1.6,1024,HDD
196,Razer,Gaming,17.3,32,3.49,6099,4K Ultra HD,Yes,2.9,1024,SSD
197,HP,Notebook,13.3,8,1.49,959,Full HD,No,1.6,512,SSD
198,HP,Gaming,17.3,16,3.35,1379,Full HD,No,2.8,256,SSD
199,HP,Notebook,17.3,8,2.5,1045,Full HD,No,1.8,256,SSD
200,Dell,Gaming,15.6,16,2.65,1845,4K Ultra HD,No,2.8,512,SSD
201,Lenovo,Notebook,15.6,4,2.1,493,Standard,No,2.3,128,SSD
202,Acer,Notebook,15.6,8,2.23,742,Full HD,No,2.7,1024,HDD
203,Lenovo,Gaming,15.6,16,3.2,1749,Full HD,No,2.8,512,SSD
204,Dell,Workstation,15.6,16,2.8,3055,4K Ultra HD,No,3,256,SSD
205,Lenovo,Gaming,15.6,16,2.4,1398,Full HD,No,2.8,512,SSD
206,Dell,Notebook,15.6,6,2.3,439,Standard,Yes,2.4,1024,HDD
207,Dell,Ultrabook,13.3,8,1.21,1949,4K Ultra HD,Yes,1.8,256,SSD
208,Dell,Ultrabook,13.3,8,1.2,1449,Full HD,No,1.8,256,SSD
209,Lenovo,Notebook,15.6,8,2.2,597,Standard,No,2.5,256,SSD
210,Acer,Notebook,15.6,8,2.4,779,Full HD,No,2.8,1024,HDD
211,Asus,Gaming,17.3,16,2.9,1407,Full HD,No,2.8,256,SSD
212,HP,Notebook,15.6,4,2.1,349,Full HD,No,2,500,HDD
213,Lenovo,Notebook,15.6,8,2.2,549,Full HD,No,2.5,256,SSD
214,Huawei,Ultrabook,13,8,1.05,1499,Full HD,No,2.7,512,SSD
215,Dell,Ultrabook,13.3,8,1.4,931.88,Full HD,No,1.8,256,SSD
216,Lenovo,Notebook,17.3,8,2.8,589,Standard,No,2.5,1024,HDD
217,HP,Notebook,14,8,1.63,1031,Full HD,No,1.8,256,SSD
218,Dell,Ultrabook,14,8,1.6,1149,Full HD,No,1.6,256,SSD
219,Dell,2 in 1 Convertible,13.3,16,1.62,1279,Full HD,Yes,1.8,512,SSD
220,Dell,Notebook,15.6,8,2.2,677.35,Full HD,No,1.6,256,SSD
221,Lenovo,2 in 1 Convertible,14,8,1.74,899,Full HD,No,1.6,256,SSD
222,Toshiba,Ultrabook,13.3,8,1.2,1363,Full HD,No,2.5,256,SSD
223,HP,Notebook,15.6,8,2.1,794,Full HD,No,1.6,1024,HDD
224,Dell,Gaming,17.3,16,4.42,2456.34,Full HD,No,2.8,256,SSD
225,Acer,Notebook,15.6,8,2.2,832,Full HD,No,2.7,256,SSD
226,Dell,Notebook,15.6,16,2.3,859.01,Full HD,Yes,2.7,1024,HDD
227,Asus,Notebook,15.6,8,2,769,Full HD,No,2.5,256,SSD
228,Asus,Notebook,17.3,8,2.69,891,Full HD,No,2.5,256,SSD
229,HP,Notebook,15.6,8,1.9,1269,Full HD,No,2.7,1024,HDD
230,Asus,Notebook,15.6,4,2.37,398.99,Standard,No,2.4,1024,HDD
231,HP,Notebook,15.6,4,2.1,330,Standard,No,1.5,500,HDD
232,Lenovo,Gaming,15.6,16,3.2,1499,Full HD,No,2.8,256,SSD
233,Dell,Notebook,14,8,1.6,859,Full HD,No,2.5,256,SSD
234,Acer,2 in 1 Convertible,13.3,8,1.6,689,Full HD,Yes,2.3,256,SSD
235,Dell,Notebook,15.6,16,2.36,899,Full HD,No,2.7,256,SSD
236,Acer,Notebook,15.6,4,2.1,390,Standard,No,2,1024,HDD
237,Asus,Notebook,15.6,4,2.2,575,Full HD,No,2.5,128,SSD
238,Asus,Gaming,17.3,32,4.7,3890,Full HD,No,2.9,512,SSD
239,Acer,Gaming,15.6,8,2.5,846,Full HD,No,2.5,256,SSD
240,Lenovo,Notebook,15.6,8,2.2,589,Standard,No,2,128,SSD
241,Asus,Notebook,17.3,8,2.1,1145,Full HD,No,1.8,128,SSD
242,Asus,Notebook,17.3,8,2.69,889,Full HD,No,2.7,128,SSD
243,Dell,Gaming,15.6,8,2.56,879,Full HD,No,2.5,256,SSD
244,Lenovo,2 in 1 Convertible,13.9,8,1.38,1079,Full HD,Yes,2.7,256,SSD
245,Dell,Notebook,15.6,8,2.2,985,Full HD,No,1.8,128,SSD
246,HP,Notebook,15.6,8,2.04,559,Standard,Yes,2.5,1024,HDD
247,Asus,Gaming,17.3,16,3.6,2999,Full HD,No,2.9,256,SSD
248,HP,Notebook,13.3,4,1.49,675,Full HD,No,1.6,500,HDD
249,Apple,Ultrabook,13.3,8,1.37,2040,Standard,No,3.1,512,SSD
250,Dell,2 in 1 Convertible,15.6,8,2.08,819,Full HD,Yes,1.8,1024,HDD
251,Asus,Gaming,17.3,16,4.3,1799,Full HD,No,2.8,256,SSD
252,Asus,Notebook,15.6,4,1.68,469,Standard,No,3,1024,HDD
253,Lenovo,2 in 1 Convertible,13.9,8,1.37,1849,Full HD,Yes,1.8,512,SSD
254,Acer,Notebook,17.3,4,3,702,Full HD,No,2.7,256,SSD
255,Dell,Ultrabook,13.3,8,1.41,949,Full HD,No,1.6,256,SSD
256,HP,Notebook,15.6,8,1.91,445.9,Standard,No,2.5,128,SSD
257,HP,Notebook,17.3,16,2.9,1059,Full HD,No,1.8,1024,HDD
258,MSI,Gaming,17.3,16,4.14,2499,Full HD,No,2.8,512,SSD
259,Lenovo,2 in 1 Convertible,15.6,8,2,1699,Full HD,Yes,2.8,512,SSD
260,Dell,Notebook,17.3,8,2.8,1142,Full HD,No,1.8,128,SSD
261,Lenovo,Notebook,15.6,4,2.2,444,Full HD,No,2,256,SSD
262,HP,Notebook,15.6,4,2.1,722,Full HD,No,1.6,500,HDD
263,Dell,Notebook,15.6,4,2.18,657,Full HD,No,2.5,1024,HDD
264,Dell,Notebook,15.6,8,2.24,565,Full HD,No,2.5,1024,HDD
265,Dell,2 in 1 Convertible,15.6,8,2.67,799,Full HD,Yes,1.6,256,SSD
266,Asus,2 in 1 Convertible,13.3,8,1.1,1499,Full HD,Yes,1.8,512,SSD
267,Lenovo,Notebook,15.6,4,2.2,467,Full HD,No,2.5,1024,HDD
268,HP,Notebook,17.3,8,2.5,1018,Full HD,No,1.8,1024,HDD
269,Lenovo,Notebook,15.6,8,2.05,880,Full HD,No,1.8,256,SSD
270,Apple,Ultrabook,13.3,8,1.37,1958.9,Standard,No,2.9,512,SSD
271,Asus,Gaming,17.3,16,3.2,1549,Full HD,No,3,256,SSD
272,Dell,Notebook,15.6,8,2.14,735.07,Full HD,No,1.8,256,SSD
273,Lenovo,2 in 1 Convertible,14,16,1.36,2499,Standard,Yes,2.6,512,SSD
274,Toshiba,Notebook,15.6,8,2.2,812,Standard,No,2.5,500,HDD
275,Dell,Notebook,15.6,12,2.3,713.07,Standard,No,2.7,1024,HDD
276,Dell,Notebook,17.3,8,2.8,1099,Full HD,No,1.8,128,SSD
277,Acer,Notebook,15.6,8,2.2,745,Full HD,No,1.8,1024,HDD
278,Lenovo,Notebook,17.3,4,2.8,489,Standard,No,2,1024,HDD
279,Lenovo,Notebook,17.3,8,2.8,849,Full HD,No,1.8,2048,HDD
280,Lenovo,Notebook,17.3,6,2.8,859,Standard,No,2.7,128,SSD
281,Dell,Notebook,15.6,4,2.25,428,Full HD,No,2,1024,HDD
282,Lenovo,Gaming,15.6,8,2.5,829,Full HD,No,2.5,256,SSD
283,Lenovo,Notebook,15.6,6,2.2,579,Full HD,No,2.5,256,SSD
284,Acer,Notebook,15.6,8,3,951,Full HD,No,1.8,256,SSD
285,Acer,Notebook,15.6,12,2.15,659,Full HD,Yes,2.7,1024,HDD
286,Lenovo,Notebook,15.6,8,1.95,1097,Full HD,No,2.7,256,SSD
287,Asus,Ultrabook,15.6,8,1.7,977,Full HD,No,2.5,256,SSD
288,Lenovo,Gaming,15.6,16,2.5,1179,Full HD,No,2.8,256,SSD
289,Lenovo,Notebook,15.6,8,2.2,659.01,Full HD,No,2.7,1024,HDD
290,Acer,Notebook,15.6,2,2.19,199,Standard,No,1.5,16,SSD
291,Asus,Gaming,17.3,8,3,1187,Full HD,No,2.8,1024,HDD
292,HP,Notebook,17.3,8,2.54,489,Standard,No,2,1024,HDD
293,Dell,Notebook,15.6,8,2,1829,Full HD,No,2.8,256,SSD
294,Lenovo,Notebook,15.6,8,2.05,739,Full HD,No,1.6,256,SSD
295,Lenovo,Gaming,15.6,8,3.2,1299,Full HD,No,2.8,1024,HDD
296,Acer,Notebook,15.6,8,2.5,979,Full HD,No,2.8,256,SSD
297,Dell,Workstation,17.3,16,3.42,2884.86,Full HD,No,2.9,256,SSD
298,Lenovo,Notebook,15.6,6,2.4,499,Full HD,No,2.4,1024,HDD
299,Asus,Ultrabook,15.6,16,1.63,1468,Full HD,No,2.7,512,SSD
300,Asus,Notebook,14,4,1.3,509,Standard,No,2.4,128,SSD
301,Asus,Gaming,17.3,16,2.9,2122,Full HD,No,2.8,256,SSD
302,Lenovo,Notebook,17.3,6,2.8,649,Standard,No,2.5,1024,HDD
303,Lenovo,Notebook,15.6,8,2.2,549,Standard,No,2.5,2048,HDD
304,Asus,Gaming,15.6,8,2.5,1265,Full HD,No,2.8,128,SSD
305,Lenovo,Notebook,15.6,4,2.2,359.99,Standard,No,1.1,1024,HDD
306,HP,2 in 1 Convertible,13.3,16,1.28,1975,Full HD,Yes,2.8,256,SSD
307,Toshiba,Notebook,15.6,8,2.2,1043,Full HD,No,2.5,256,SSD
308,Lenovo,Notebook,15.6,8,2.3,819,Full HD,No,2.5,128,SSD
309,HP,Notebook,15.6,4,1.86,469,Full HD,No,2,1024,HDD
310,Lenovo,Notebook,13.3,8,1.1,999,Full HD,No,2.5,256,SSD
311,Dell,Ultrabook,13.3,16,1.21,2499,4K Ultra HD,Yes,1.8,1024,SSD
312,MSI,Gaming,15.6,16,2.8,2099,Full HD,No,2.8,256,SSD
313,Acer,Notebook,15.6,8,2.23,469,Full HD,No,2.2,256,SSD
314,Asus,2 in 1 Convertible,11.6,2,1.1,275,Standard,Yes,1.1,32,Flash Storage
315,Dell,Notebook,15.6,8,2.33,844,Full HD,No,1.6,128,SSD
316,HP,2 in 1 Convertible,13.3,16,1.29,2449,4K Ultra HD,Yes,1.8,1024,SSD
317,Lenovo,Notebook,13.3,4,1.45,459.9,Standard,No,1.6,16,Flash Storage
318,HP,Notebook,14,8,1.95,980,Full HD,No,2.5,256,SSD
319,Acer,Notebook,11.6,4,1.4,485,Standard,No,1.6,128,Flash Storage
320,HP,Notebook,14,8,1.48,1292,Full HD,No,2.7,256,SSD
321,Lenovo,Notebook,17.3,4,2.79,589,Standard,No,2.5,1024,HDD
322,Asus,Notebook,14,8,2,1094,Full HD,No,2.7,256,SSD
323,HP,Notebook,15.6,8,2.1,902,Full HD,No,1.8,1024,HDD
324,Acer,Notebook,15.6,8,2.2,659,Standard,No,2.7,256,SSD
325,Lenovo,Notebook,14,4,1.44,292,Standard,No,1.1,32,Flash Storage
326,Acer,Notebook,15.6,6,2.23,549,Standard,No,2.5,1024,HDD
327,Asus,Ultrabook,15.6,8,1.7,1049.9,Full HD,No,2.7,256,SSD
328,HP,Ultrabook,12.5,8,1.26,1335,Full HD,No,2.7,256,SSD
329,Dell,Notebook,15.6,32,2.06,2639,4K Ultra HD,Yes,2.8,1024,SSD
330,MSI,Gaming,17.3,8,2.7,1199,Full HD,No,2.8,256,SSD
331,Toshiba,Notebook,15.6,8,2,943,Full HD,No,2.5,256,SSD
